id,id_tei,name,county,state,latitude,longitude,notes,place_type,alternate,Date,,,,,
,cornp,Cornplanters Village,Warren,Pennsylvania,41.837781,79.003006,western bank of the Allegheny River (about three miles (5 km) below the southern boundary of New York state),placeName,"Jenuchshadago , Jeneocatego, Cornplanter's Settlement, Cornplanter Tract, Gyonǫhsade:gęh",,,,,,
,corog,Coroga Creek,Montgomery,New York,,,,geogName,Carago Creek,,,,,,
,cortun,Cortunewaga,,,,,,placeName,,,,,,,
,cofer,Coryells Ferry,,New Jersey,40.3642,74.9513,,placeName,"Karels Ferry, Curruls Ferry",,,,,,
,cowan,Cowanesque,,Pennsylvania,41.9432,77.7075,"River, 41 miles long Crosses from PA to NY to join Tioga River",geogName,,,,,,,
,cowas,Cowaselon Creek,,New York,,,,geogName,,,,,,,
,cowni,cownisky,,,,,,,,,,,,,
,coxs,Coxsackie,,New York,,,,,,,,,,,
,crans,Cranston,,Rhode Island,,,,,,,,,,,
,creek,Creek Meeting House,,New York,41.83355,73.762078,,placeName,,,,,,,
,cres,Cresaptown,,,,,,placeName,formerly Cresapsburg,,,,,,
,crook,Crooked Lake,,New York,42.492914,77.142764,Now known as Keuka lake,geogName,,,,,,,
,cross,Cross Lake,,New York,,,,geogName,,,,,,,
,crosw,Croswick's,,New Jersey (west),,,near a meeting-house and school,placeName,,,,,,,
,croto,Croton River,,New York,41.190475,73.87342,,geogName,,,,,,,
,croval1,Croton Valley,,New York,,,,,,,,,,,
,cumb,Cumberland,,,,,,placeName,,,,,,,
,cusse,Cussewago,,Pennsylvania,41.48,80.1559,"In Crawford County, PA",placeName,"Casawaga, Meadville",,,,,,
,cuyah,Cuyahoga River,,Ohio,,,,geogName,Cayahoga,,,,,,
,danby,Danby,,Vermont,43.22,73.3,in Rutland County,placeName,,,,,,,
,danve,Danvers,,Massachusetts,,,,placeName,,,,,,,
,darby,Darby,,Pennsylvania,39.9184,75.259,In Delaware County,placeName,,,,,,,
,dayt,Dayton,,Ohio,39.4534,84.113,,placeName,,,,,,,
,delap,De-la-Panse river,,,,,,geogName,,,,,,,
,deeps,Deep Spring,,,,,,geogName,,,,,,,
,delaware,Delaware,,,,,,placeName,,,,,,,
,delab,Delaware Bay,,,,,,geogName,,,,,,,
,delco,Delaware County,,Pennsylvania,39.92,75.4,,placeName,,,,,,,
,delaw,Delaware River,,,,,Runs 419 miles,geogName,,,,,,,
,denm,Denmark,,,,,,placeName,,,,,,,
,dennc,Dennis' Creek,,,,,,geogName,,,,,,,
,denn,Dennis' Station,,,,,,placeName,,,,,,,
,derby,Derby,,Pennsylvania?,,,,placeName,same as Darby?,,,,,,
,detro,Detroit,,Michigan,42.1953,83.0245,,placeName,,,,,,,
,detror,Detroit River,,Michigan,42.0306,83.0905,"Runs 28 miles, is boundary between MI and Ontario, Canada",geogName,,,,,,,
,digby,Digby,,Canada,44.62153,65.7575,,placeName,,,,,,,
,dinwi,Dinwiddie County,,Virginia,37.08,77.63,,placeName,,,,,,,
,dippe,Dipper Harbour,,Canada,45.09578,66.431047,,placeName,,,,,,,
,dothe,Dotherly's Tavern,,New York?,,,on the banks of Tawandy Creek,placeName,,,,,,,
,doubl,Double Cabin,,Pennsylvania,,,inn,placeName,,,,,,,
,duane,Duanesburg,,New York,42.76202,74.13374,,placeName,"Duane's Bush, Douanesburg",,,,,,
,dubli,Dublin,,Ireland,,,,placeName,,,,,,,
,dubuq,Dubuque,,,,,,placeName,,,,,,,
,duchc,Duchess County,,New York,,,,placeName,,,,,,,
,duckc,Duck Creek,,,,,,geogName,,,,,,,
,duckt,Ducktrap,,Maine,44.29535,69.0078,,placeName,,,,,,,
,durha,Durham,,Maine,43.97247,70.12299,,placeName,,,,,,,
,ebrad,East Bradford,,Pennsylvania,,,,,,,,,,,
,eastf,East Fork,,,,,Little Miami River,,,,,,,,
,egreen,East Greenwich,,,,,,,,,,,,,
,ehamp,East Hampton,,New York,40.5725,72.1156,,placeName,,,,,,,
,ehart,East Hartford,,Connecticut,41.76342,72.612834,,placeName,,,,,,,
,eastr,East River,,New York,,,,geogName,,,,,,,
,eastb,Eastbourne,,England,,,,placeName,,,,,,,
,easto,Easton,,New York,42.9934,73.55234,"In Washington County, NY",placeName,,,,,,,
,eston,Easton,,Pennsylvania,40.6885,75.2072,,placeName,Eastown,,,,,,
,eaves,Eavesham,,New Jersey,,,,placeName,,,,,,,
,edgep,Edge Pelek,,New Jersey,,,,placeName,reference to New Jersey tribe,,,,,,
,edin,Edinburgh,,Scotland,,,,placeName,,,,,,,
,eelr,Eel River,,,,,,geogName,,,,,,,
,eggha,Egg Harbor,,New Jersey,39.37829,74.6,,placeName,New Weymouth,,,,,,
,eighmc,Eighteen Mile Creek Harbor,,New York,,,"On the southern shore of Lake Ontario, today called Olcott",geogName,,,,,,,
,elder,Elder's Tavern,,Pennsylvania,,,"Somewhere near Stony Creek, Paxton, PA",geogName,,,,,,,
,eldri,Eldridge's Tavern,,New York?,,,near Elklands,placeName,,,,,,,
,eliza,Elizabethtown,,Pennsylvania,40.15287,76.60274,,placeName,Elisabeth Town,,,,,,
,elkri,Elk Ridge,,Maryland,39.2126,76.71358,,placeName,Elkridge,,,,,,
,elkla,Elklands,,New York?,,,,placeName,,,,,,,
,ellic,Ellicott's Mills,,,,,,placeName,,,,,,,
,engl,England,,,,,,placeName,,,,,,,
,eppin,Epping,,New Hampshire,,,,placeName,,,,,,,
,erie,Erie,,Pennsylvania,,,,placeName,,,,,,,
,eriec,Erie Canal,,,,,,geogName,Grand Canal,,,,,,
,esopu,Esopus ,,New York,41.8279,73.9651,,placeName,Eusopus,,,,,,
,esocr,Esopus Creek,,New York,42.417,73.5545,"Runs 65 miles, Source is Winnisook Lake and mouth is Hudson River",geogName,,,,,,,
,euro,Europe,,,,,,placeName,,,,,,,
,evesh,Evesham,,New Jersey,39.856677,74.90081,,placeName,Evesham Township,,,,,,
,exete,Exeter,,Pennsylvania,41.1932,75.491,,placeName,,,,,,,
,faili,Failing's Inn,,,,,,placeName,,,,,,,
,falls,Falls,,Pennsylvania,40.1036,74.494,,placeName,"Falls Township, Fallsington",,,,,,
,ohiof,Falls of Ohio,,Kentucky,,,,geogName,,,,,,,
,falmo,Falmouth,,Maine,43.4346,70.1431,,placeName,,,,,,,
,fanne,Fannettsburg,,Pennsylvania,40.06508,77.82944,,placeName,Phanetts-Burgh,,,,,,
,farmi,Farmington,,New York,42.98642,77.32595,,placeName,Mud Creek,,,,,,
,fathf,Father Flint,,,,,flint vein,geogName,,,,,,,
,feder,Federal City,,D.C.,38.90719,77.036871,,placeName,Washington D.C.,,,,,,
,ferri,Ferrisburg,,Vermont,44.20561,73.246234,,placeName,Ferrisburgh,,,,,,
,fieso,Fiesole,,Italy,,,,placeName,,,,,,,
,fight,Fighting Island,,Canada,,,,geogName,,,,,,,
,fishe,Fisher's Tavern,,Virginia?,,,,placeName,,,,,,,
,fishi,Fishing Creek,,Pennsylvania,41.122362,77.482871,,geogName,,,,,,,
,Flemi,Flemington,,Pennsylvania,41.124811,77.469352,"There is also a Flemington, NJ",placeName,,,,,,,
,flino,Flinn's Ordinary,,,,,,placeName,,,,,,,
,flint,Flint Creek,,New York,42.924252,77.111278,,geogName,,,,,,,
,flori,Florida,,New York,41.331761,74.35682,,placeName,,,,,,,
,flush,Flushing,,Ohio,,,,placeName,,,,,,,
,flush2,Flushing,,New York,,,,,,,,,,,
,famst,Fort Amsterdam,,New York,,,,placeName,Fort Hendrick,,,,,,
,fann,Fort Ann,,New York,43.41423,73.4876,,placeName,,,,,,,
,fatki,Fort Atkinson,,,,,,placeName,,,,,,,
,fcham,Fort Chambly,,Canada,45.449502,73.276881,,placeName,Fort Chamblee,,,,,,
,fcoff,Fort Coffee,,,,,,placeName,,,,,,,
,fcrow,Fort Crown Point,,New York,44.02872,73.429495,,placeName,,,,,,,
,fdefi,Fort Defiance,,,,,,placeName,,,,,,,
,fduqu,Fort Duquesne,,Pennsylvania,40.441603,80.010915,old French fort,placeName,,,,,,,
,fedwa,Fort Edward,,New York,43.1335,73.3333,,placeName,,,,,,,
,ferie,Fort Erie,,Canada,42.53357,78.552574,,placeName,,,,,,,
,ffran,Fort Franklin,,Pennsylvania,allace,79.82168,Likely,placeName,Formerly Fort Machault,,,,,,
,fharm,Fort Harmar,,Ohio,39.40934,81.457784,,placeName,,,,,,,
